furnizor_comercial,cui_furnizor,depozit_referinta,producator_original,nume_model,categorie,subcategorie,specificatie_principala,specificatii_suplimentare,unitate_masura,pret_unitar_ron,pret_unitar_eur,lead_time_zile,observatii_logistice,sursa_document
ACA BUSINESS GROUP,32667674,"Bacau, Str. Calea Moinesti nr. 24",,,"Utilaje Grele si Compacte",,,,,,,,
ACA BUSINESS GROUP,32667674,"Bacau, Str. Calea Moinesti nr. 24",,,"Echipamente si Scule Industriale",,,,,,,,
ACA BUSINESS GROUP,32667674,"Bacau, Str. Calea Moinesti nr. 24",,,"Sisteme de Intretinere si Robotica",,,,,,,,
ACA BUSINESS GROUP,32667674,"Bacau, Str. Calea Moinesti nr. 24",,,"Materiale de Constructii si Chimice",,,,,,,,
